ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
BB-406513089A-406513092A-18707771,20240725,3103325119,BroadBand Submitted,PONUMBER,13798264729.0,12068.0
BB-406513089A-406513092A-18707771,20240725,3103325119,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406513089A-406513092A-3622025,20240725,3103327299,BroadBand Submitted,PONUMBER,13798264729.0,12068.0
BB-406513089A-406513092A-3622025,20240725,3103327299,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406513089A-406513092A-2277075,20240725,3103327301,BroadBand Submitted,PONUMBER,13798264729.0,12068.0
BB-406513089A-406513092A-2277075,20240725,3103327301,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406641937A-406641938A-9046602,20240725,72693184,BroadBand Submitted,PONUMBER,13798260270.0,11992.0
BB-406641937A-406641938A-9046602,20240725,72693184,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406642002A-406642004A-9046602,20240725,2845558104,BroadBand Submitted,PONUMBER,13798262863.0,12041.0
BB-406642002A-406642004A-9046602,20240725,2845558104,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406642141A-406642145A-2646395,20240725,3103493174,BroadBand Submitted,PONUMBER,13798241485.0,11654.0
BB-406642141A-406642145A-2646395,20240725,3103493174,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406642395A-406642396A-2572995,20240725,3093283155,BroadBand Submitted,PONUMBER,13712504164.0,11143.0
BB-406642395A-406642396A-2572995,20240725,3093283155,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406642395A-406642396A-71152596,20240725,3093283160,BroadBand Submitted,PONUMBER,13712504164.0,11143.0
BB-406642395A-406642396A-71152596,20240725,3093283160,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406642416A-406642417A-71964226,20240725,3090647508,BroadBand Submitted,PONUMBER,13681095014.0,12366.0
BB-406642416A-406642417A-71964226,20240725,3090647508,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406655829A-406655830A-8640442,20240725,3103523528,BroadBand Submitted,PONUMBER,13798236633.0,11573.0
BB-406655829A-406655830A-8640442,20240725,3103523528,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406656033A-406656036A-9046552,20240725,2853107634,BroadBand Submitted,PONUMBER,13798240883.0,11647.0
BB-406656033A-406656036A-9046552,20240725,2853107634,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406649024A-406649025A-18660931,20240725,3095630620,BroadBand Submitted,PONUMBER,13729794262.0,12566.0
BB-406649024A-406649025A-18660931,20240725,3095630620,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406662384A-406662386A-9046602,20240725,2327638967,BroadBand Submitted,PONUMBER,13798243541.0,11685.0
